Canton,MSE,IS_95
Alajuela,175.32436742858252,17.13490443818801
Alajuelita,61.35858693809112,25.524408678975572
Atenas,1032.5434425645522,28.37182694135954
Cañas,4475.390675353067,34.57248735176257
Carrillo,1297.552170648267,22.7219871216252
Corredores,1282.2840892688153,30.12607942230195
Desamparados,52.43440885571714,23.25005968150923
Esparza,1742.5047396908233,21.982075190240355
Garabito,21352.302657751752,35.13714021946492
Golfito,784.3938169880342,24.674682156990016
Guacimo,446.30122235764065,18.74797916719447
La Cruz,1441.9351032318816,32.67167239078977
Liberia,769.8184538055492,25.752219720787274
Limon,738.6515989185007,22.004378981435234
Matina,997.761964491812,19.922572879304546
Montes de Oro,1503.1806101516559,26.38167843436706
Nicoya,596.7975824629751,22.37979450745562
Orotina,4992.928602753019,26.52329640557411
Osa,1132.5631338733233,32.90605130830574
Parrita,4299.4189241259,18.854703067733432
Perez Zeledón,262.31513285463456,27.108326397886238
Pococí,498.37255134956314,15.899324224006604
Puntarenas,353.4306037293283,16.024538535529004
Quepos,21842.498085739346,45.65863717522912
San Jose,44.957969272954166,16.12941953370282
Santa Ana,180.53051337246734,27.093699678876664
SantaCruz,9812.924613179835,38.99900829463139
Sarapiquí,1540.3348571218248,24.79927049776196
Siquirres,418.73723951451404,16.961132687261927
Talamanca,732.3984907855169,22.822343036094807
Turrialba,198.65446474024785,27.78499266095637
Upala,263.292921015564,24.293327896022518
