Canton,clusterRR,clusterPrecip,clusterMVC3,clusterMVC4,clusterMVC5,clusterMVC6
Alajuela,1,1,1,1,1,1
Alajuelita,1,2,1,1,1,1
Atenas,2,2,1,1,1,1
Cañas,3,3,2,2,2,2
Carrillo,4,4,2,2,2,2
Corredores,2,5,1,3,3,3
Desamparados,1,1,1,1,1,1
Esparza,4,2,2,2,2,2
Garabito,3,3,3,4,4,4
Golfito,2,5,1,3,3,3
Guacimo,2,5,3,4,5,5
La Cruz,1,3,2,2,2,2
Liberia,4,4,2,2,2,2
Limon,4,5,1,3,3,3
Matina,4,5,3,4,5,5
Montes de Oro,5,3,2,2,2,2
Nicoya,4,6,2,2,2,2
Orotina,4,2,2,2,2,2
Osa,2,5,1,3,3,3
Parrita,6,3,1,3,3,6
Perez Zeledón,1,1,1,3,3,3
Pococí,2,5,3,4,5,5
Puntarenas,4,1,1,3,3,3
Quepos,6,5,1,3,3,6
San Jose,1,2,1,1,1,1
Santa Ana,1,2,1,1,1,1
SantaCruz,4,6,2,2,2,2
Sarapiquí,2,5,3,4,5,5
Siquirres,2,5,3,4,5,5
Talamanca,2,5,1,3,3,3
Turrialba,1,5,1,3,3,3
Upala,1,5,3,4,4,4
