Model,DIC,logscore
formula.iid,55129.6,3.7311
formula.1.1,55469.66,3.7541
formula.1.2,55128.48,3.7311
formula.1.3,55130.09,3.7311
formula.1.4,55129.85,3.7312
formula.2.1,55130.03,3.7312
formula.2.2,55129.08,3.7312
formula.2.3,55129.71,3.7312
formula.2.4,55128.56,3.7311
formula.3.1,55129.66,3.7311
formula.3.2,55129.93,3.7311
formula.3.3,55130.76,3.7312
formula.3.4,55128.38,3.7311
formula.1.1a,53180.29,3.6139
formula.1.2a,51916.04,3.5293
formula.1.3a,51916.73,3.5302
formula.1.4a,51916.78,3.5303
formula.2.1a,52260.54,3.5523
formula.2.2a,51912.68,3.5305
formula.2.3a,51922.96,3.5307
formula.2.4a,51909.79,3.53
formula.3.1a,52255.59,3.5515
formula.3.2a,51922.94,3.5308
formula.3.3a,51922.53,3.5307
formula.3.4a,51922.45,3.5308
